seiban,fX,fY,prefectures
SN1046：北日本レミコン（株）：赤江機械工業クラッシャー設備,140.61324,41.04914,02青森県
SN-841：青森カイハツ生コンクリート（株）：BP他社プラント　ＦＳＦ－１５００ ADV,140.73814,40.78978,02青森県
SB3266：野辺地レミコン（株）：DASH-H167EvoⅢ130H-ADV,141.14622,40.87712,02青森県
ZZ0044：東北化学工業（株）　岩手生コン工場：BP他社プラント,141.07257,39.6997,03岩手県
SN1757：大協企業（株）　花巻工場：BP他社プラント　it's-B REAL ITBR　DSH225,141.0755,39.37691,03岩手県
ZB0122：新和コンクリート工業（株）　岩手工場：BP他社プラント,141.16222,38.80371,03岩手県
SB3194：（株）カイハツ生コン　一関工場：DASH-N225R150T-TRIU TRIU 200N-225,141.13519,38.89879,03岩手県
SN1105：（株）北関東工業　東北支店：BP他社プラント　PZ計量装置,141.09438,39.25346,03岩手県
SB6674：吉田コンクリート工業（株）：Ｓ２ｄ－１００Ｐ－５Ｔ,140.99814,39.24303,03岩手県
SB6686：アイサワ工業（株）：ＳＳ－５０Ｐ－５Ｔ　CTB,141.53354,39.32766,03岩手県
SB3157：ＯＮＯＳＨＩＮ（株）　生コン工場：DASH-N225EvoⅢ150T-TRI　200N-225,141.92706,39.83435,03岩手県
ZZ0203：奥羽生コンクリート（株）　水沢工場：BP他社プラント,141.16241,39.16196,03岩手県
ZZ0204：（株）花巻生コン：BP他社プラント,141.14169,39.44718,03岩手県
ZZ0206：（株）遠忠　生コンクリート工場：BP他社プラント,141.07657,39.91446,03岩手県
ZZ0207：（株）リアス生コン：BP他社プラント,141.66492,39.00649,03岩手県
ZZ0208：宮古生コンクリート（株）：BP他社プラント,141.96083,39.61302,03岩手県
ZZ0209：（株）盛コン：BP他社プラント,141.0096,39.71259,03岩手県
ZZ2457：（株）阿部組：BP他社プラント,141.91611,39.43425,03岩手県
ZZ2458：後藤工建（株）　大原工場：BP他社プラント,141.439,39.04568,03岩手県
ZZ2459：（株）柴田組：BP他社プラント,141.27489,40.24054,03岩手県
ZZ2460：高橋重機（株）：BP他社プラント,141.01344,39.91862,03岩手県
ZZ2461：（株）樋口建設：BP他社プラント,141.2468,40.24004,03岩手県
ZZ2462：（株）平泉：BP他社プラント,141.12204,38.96209,03岩手県
ZZ2463：藤根建設（株）：BP他社プラント,141.01344,39.91862,03岩手県
ZZ2465：丸協建設協業組合：BP他社プラント,141.67149,39.12032,03岩手県
ZZ2466：（株）宮守砕石工業所　砕石工場：BP他社プラント,141.35942,39.35638,03岩手県
ZZ2467：（株）六原：BP他社プラント,141.0705,39.23319,03岩手県
ZZ2208：釜石レミコン（株）　第二工場：BP他社プラント,141.88438,39.2478,03岩手県
SB2334：国際生コン（株）：Ⅲ－１５ＰＢⅡ－２００Ｐ－７　ITBF,140.83022,39.09752,03岩手県
SB2275：（株）遠野レミコン：Ⅲ－１７Ｐ－２００Ｐ－７Ｂ　DSH-225,141.5582,39.32625,03岩手県
SB2173：（株）久慈レミコン：Ｌ１５Ｐ－２００Ｐ－７　ＩＴＢ　200N-225,141.73094,40.14604,03岩手県
SB2870：（株）立石コンクリート：ＤＡＳＨ－１１０Ｂ１－ＶⅡ　TRIU DSH-167,141.3898,38.95903,03岩手県
ZZ0210：大協企業（株）　矢巾工場：BP他社プラント,141.17384,39.61467,03岩手県
ZZ0211：（株）モリサン：BP他社プラント,141.09521,39.79912,03岩手県
ZZ0213：宮城建設（株）　久慈生コン工場：BP他社プラント,141.73094,40.14604,03岩手県
ZZ0215：（株）吉田レミコン　南部工場：BP他社プラント,141.67952,40.38984,03岩手県
ZZ0217：一関レミコン（株）：BP他社プラント,141.13519,38.89879,03岩手県
ZZ0221：岩手カイハツ生コンクリート（株）：BP他社プラント,141.19789,39.93816,03岩手県
ZZ0222：奥羽生コンクリート（株）　花北工場：BP他社プラント,141.11581,39.33626,03岩手県
ZZ0218：釜石レミコン（株）：BP他社プラント,141.87737,39.30093,03岩手県
ZZ0219：（株）大迫生コン：BP他社プラント,141.28596,39.47218,03岩手県
ZZ0220：大船渡レミコン（株）：BP他社プラント,141.72644,39.07478,03岩手県
ZZ0225：三陸生コン（株）：BP他社プラント,141.91692,39.63126,03岩手県
ZZ0235：盛岡カイハツ生コンクリート（株）　盛岡工場：BP他社プラント,141.10339,39.70324,03岩手県
ZZ0236：盛岡カイハツ生コンクリート（株）　雫石工場：BP他社プラント,140.95807,39.73364,03岩手県
ZZ0237：盛岡小野田レミコン（株）：BP他社プラント,141.17444,39.63285,03岩手県
ZZ0226：下閉伊コンクリート工業（株）：BP他社プラント,141.91563,39.95744,03岩手県
ZZ0227：（有）葛巻生コン：BP他社プラント,141.3737,40.00414,03岩手県
ZZ0228：川崎コンクリート工業（株）：BP他社プラント,141.28989,38.89474,03岩手県
ZZ0229：（株）千厩生コン：BP他社プラント,141.34084,38.9384,03岩手県
ZZ0230：高田レミコン（株）：BP他社プラント,141.52577,39.05338,03岩手県
ZZ0231：（有）宮守生コン：BP他社プラント,141.38849,39.31061,03岩手県
ZZ0232：花北生コン（株）：BP他社プラント,141.10036,39.27768,03岩手県
ZZ0233：船橋生コン（株）：BP他社プラント,141.16048,39.06625,03岩手県
ZZ0234：（株）夢コンクリート：BP他社プラント,141.73653,39.05392,03岩手県
SB7090：青木あすなろ建設（株）　柏木平トンネル：Ｂａｔｃｈ－Ｐａｃｋ－５００,141.87642,39.99411,03岩手県
