seiban,fX,fY,prefectures
赤城アスコン,139.08929,36.3507,10群馬県
萬屋建設（株）　上久屋アスファルト合材工場,139.10555,36.66013,10群馬県
（株）ユーディケー　深谷工場,139.29265,36.13678,11埼玉県
（株）ユーディケー　秩父工場,138.97917,35.97176,11埼玉県
小川アスコン　熊谷合材工場,139.42155,36.12059,11埼玉県
鹿島道路（株）　栗橋合材製造所,139.66837,36.10899,11埼玉県
川越アスコン,139.46588,35.9273,11埼玉県
共同企業体川口アスコン　柳崎工場,139.70033,35.85183,11埼玉県
共同企業体　埼玉アスコン,139.47087,35.84988,11埼玉県
共同企業体　川島アスコン,139.50064,35.96181,11埼玉県
浦和アスコン共同企業体,139.71492,35.88132,11埼玉県
大成ロテック（株）　花園合材工場,139.24568,36.11988,11埼玉県
埼京アスコン　第一工場,139.61766,35.80967,11埼玉県
東京鋪装工業（株）　埼玉合材工場,139.86401,35.88661,11埼玉県
三郷共同アスコン,139.88495,35.81258,11埼玉県
共同企業体川口アスコン　新郷工場,139.76045,35.81302,11埼玉県
越谷アスコン（株）,139.80507,35.91683,11埼玉県
日本道路（株）　埼玉アスファルト合材センター,139.52872,35.82123,11埼玉県
戸田アスコン（株）,139.69383,35.8026,11埼玉県
熊谷アスコン（株）,139.41579,36.13841,11埼玉県
大宮アスコン（株）,139.58665,35.91133,11埼玉県
前田道路（株）　朝霞総合合材工場,139.60989,35.81125,11埼玉県
前田道路（株）　北東京合材工場,139.85576,35.85025,11埼玉県
三井住建道路（株）　東松山合材工場,139.41647,36.04189,11埼玉県
朝霞共同アスコン,139.60239,35.82565,11埼玉県
（株）ガイアート　白岡合材工場,139.64888,36.03267,11埼玉県
大林道路（株）　久喜アスファルト混合所,139.63817,36.06745,11埼玉県
大林道路（株）　越谷アスファルト混合所,139.776,35.87238,11埼玉県
東瀝青建設（株）　船橋工場,140.06453,35.70872,12千葉県
鹿島道路（株）　成田合材製造所,140.33939,35.78285,12千葉県
（株）ガイアート　野田合材工場,139.88441,35.97826,12千葉県
共同企業体成田アスコン,140.39526,35.82013,12千葉県
世紀東急工業（株）　佐倉混合所,140.22362,35.69106,12千葉県
トーセキアスコン,140.01076,35.83095,12千葉県
船橋アスコン　前田道路（株）　＊使用不可＊,139.95523,35.69889,12千葉県
前田道路（株）　総武合材工場,140.07686,35.78042,12千葉県
千葉アスコン,140.13806,35.65583,12千葉県
南総共同アスコン,139.90591,35.27262,12千葉県
東総アスコン,140.56876,35.85982,12千葉県
（株）NIPPO　京葉合材工場,139.96738,35.68783,12千葉県
東金アスコン,140.31064,35.57461,12千葉県
前田道路（株）　千葉合材工場,140.13878,35.65785,12千葉県
前田道路（株）　木更津合材工場,139.98936,35.33998,12千葉県
鹿島道路（株）　千葉合材製造所　＊使用不可＊,140.11208,35.55952,12千葉県
千葉りんかいアスコン,140.11761,35.55189,12千葉県
（株）サンドテクノ　市川合材センター,139.93143,35.67315,12千葉県
千葉共同アスコン,140.06128,35.81944,12千葉県
大成ロテック（株）　房総合材工場,140.18961,35.45545,12千葉県
袖ヶ浦アスコン（株）,139.95242,35.44614,12千葉県
太陽建設（株）　ながら合材センター,140.20845,35.4349,12千葉県
（株）竹中道路　東京工場,139.37526,35.68634,13東京都
東瀝青建設（株）　新木場工場,139.83911,35.64355,13東京都
（株）昭和石材工業所　青梅合材工場,139.2606,35.77073,13東京都
砂町アスコン（株）,139.83099,35.65763,13東京都
